pollutant,smiles
氯乙烯,
"1,1-二氯乙烯",
二氯甲烷,
"反-1,2-二氯乙烯",
"1,1-二氯乙烷",
"顺-1,2-二氯乙烯",
氯仿,
"1,1,1-三氯乙烷",
四氯化碳,
"1,2-二氯乙烷",
苯,
三氯乙烯,
"1,1,2-三氯乙烷",
四氯乙烯,
氯苯,
"1,1,2,2-四氯乙烷",
正己烷,
苯乙烯,
甲苯,
磷酸三丁酯,
乙酸乙酯,
乙苯,
二甲苯,
邻氯甲苯,
对二甲苯,
BTEX ,
芳香族VOCs ,
三氯乙烷,
苯胺,
甲醇,
乙醇,
异丙醇,
苯酚,
氯化钠,
N-甲基吡咯烷酮,
二甲基亚砜,
罗丹明B,
甲基橙,
亚甲基蓝,
乙醛,
α-蒎烯,
己烷,
甲基丙烯酸甲酯,
间二甲苯,
BTEX,
"N,N-二甲基乙酰胺",
邻二甲苯,
间/对二甲苯,
BTEX总量,
对乙酰氨基酚,
